TotalCharges,MonthlyCharges,tenure,Charges_Internet_Interaction,tenure_group,PaymentMethod_Electronic check,Security_Services_Count,Total_Services,Engagement_Level,InternetService_Fiber optic,gender,PaperlessBilling,Security_Support_Interaction,Partner,Tenure_Contract_Interaction
-0.2636954875185429,-0.5219756496159262,0.1023712383613841,0.0,1,1,1,3,1,0,1,0,0,0,0
-0.5050763977026289,0.3374778078243394,-0.7117434584104956,75.1,1,0,1,2,1,1,1,0,1,1,0
-0.7513279279613255,-0.8090131942822701,-0.7931549280876836,0.0,1,0,3,3,1,0,1,0,2,1,13
-0.17415944911995587,0.2843841579438598,-0.2639803751859618,0.0,1,0,2,5,1,0,0,1,0,1,26
-0.9908220213597513,-0.6762790695810708,-1.2816237461508113,0.0,0,1,0,1,0,0,1,0,0,1,0
1.2696503070511336,0.48348534499565887,1.3642490183577978,0.0,2,0,3,6,2,0,1,1,1,0,66
-1.0016821877423292,-1.497571466169742,-1.2816237461508113,0.0,0,0,0,1,0,0,0,0,0,0,0
0.03356591514317124,-0.27641751891870747,0.30589991255435406,0.0,1,0,1,3,1,0,0,0,0,1,0
0.6606472798842676,-0.17023021915774814,1.3235432835192036,0.0,2,0,1,3,2,0,0,1,1,1,65
1.1164890514616859,0.5183280527297236,1.1200146093262338,0.0,2,0,2,6,2,0,0,0,1,0,0
-0.8840632948595003,-0.1669118660402181,-1.1188008067964355,0.0,0,0,3,4,0,0,0,0,2,0,0
-0.9083286363122905,-0.5153389433808665,-1.1188008067964355,0.0,0,0,1,2,0,0,0,1,1,1,0
-0.9563766451564233,-0.46390447005915153,-1.2409180113122174,0.0,0,0,1,2,0,0,0,0,1,0,0
-0.1326933592955674,0.08860132400959055,-0.10115743583158582,0.0,1,1,4,6,1,0,1,0,2,1,0
0.51408988304463,1.0111034906829266,0.14307697319997809,95.4,1,1,0,4,1,1,1,1,0,1,0
0.6757418141695477,0.1367174442137754,0.9164859351332638,69.05,2,0,0,1,2,1,0,1,0,1,55
0.13637549023157583,0.6576988836659831,-0.06045170099299184,84.75,1,0,2,4,1,1,0,1,1,0,0
-0.5831379572767951,-0.9633166142474143,-0.1825689055087738,0.0,1,1,0,1,1,0,0,1,0,1,0
-0.8669722451382312,-1.5257774676687466,-0.6710377235719016,0.0,1,0,0,1,1,0,1,0,0,0,16
-0.9531076253766171,-1.4859572302583868,-1.0780950719578415,0.0,0,0,0,1,0,0,1,0,0,0,0
-0.036202426466117356,0.695859944517578,-0.22327464034736777,85.9,1,1,2,4,1,1,1,1,1,1,0
-0.36343350039773353,-1.3150620447055927,1.0386031396490458,0.0,2,0,0,2,2,0,1,1,0,0,58
2.3826747530199444,1.326347036848275,1.6084834273893616,104.9,2,0,4,7,2,1,1,1,2,1,72
-0.5885131911429196,-0.9682941439237093,-0.1825689055087738,0.0,1,0,2,2,1,0,0,1,1,0,0
0.462070783058585,0.667653943018573,0.30589991255435406,85.05,1,1,1,3,1,1,1,1,0,1,0
-1.0013750315214078,-1.4743429943470319,-1.2816237461508113,0.0,0,0,0,1,0,0,1,0,0,0,0
-0.829367547805426,0.5000771105833088,-1.1188008067964355,80.0,0,1,0,2,0,1,0,1,0,0,0
-0.9800057344373051,0.14169497389007057,-1.2816237461508113,69.2,0,1,0,1,0,1,0,1,0,0,0
-0.4506219876792784,1.3396204493183947,-0.8338606629262776,105.3,0,1,2,6,0,1,0,1,0,0,0
-0.81142084861159,1.034331962505636,-1.1188008067964355,96.1,0,1,1,4,0,1,1,1,1,0,0
1.6425379592497085,0.7024966507526377,1.5677776925507676,0.0,2,0,4,7,2,0,1,1,2,1,71
-0.9101496339077532,0.39886734049864436,-1.2002122764736234,76.95,0,1,0,2,0,1,1,1,0,0,0
-0.7225868815751091,-1.5025489958460367,-0.10115743583158582,0.0,1,0,0,1,1,0,0,0,0,1,0
-0.7875065428398528,-1.4842980536996218,-0.30468611002455576,0.0,1,0,0,1,1,0,0,1,0,1,0
-0.4263127667663565,-1.3399496930870676,0.7943687306174818,0.0,2,0,0,2,2,0,1,0,0,1,52
1.1286656016482126,1.495583045842304,0.5501343215859179,110.0,1,1,3,7,1,1,0,1,1,0,0
-0.7480150287213875,0.18483356441796028,-0.9559778674420595,70.5,0,1,0,1,0,1,1,1,0,0,0
-0.3239200465492024,0.7273842991341125,-0.5489205190561197,86.85,1,1,0,3,1,1,0,1,0,1,0
-0.7419816029532886,-0.5153389433808665,-0.8338606629262776,0.0,0,1,1,2,0,0,0,1,0,0,0
0.9755262857888307,1.1206091435614158,0.5094285867473239,98.7,1,0,3,6,1,1,1,1,1,1,0
0.606565845272036,1.313073624378155,0.14307697319997809,104.5,1,0,2,6,1,1,0,1,1,1,0
0.6093083115302629,1.0011484313303363,0.22448844287716607,95.1,1,0,2,5,1,1,1,1,0,0,0
-1.0019454645031192,-1.5174815848749215,-1.2816237461508113,0.0,0,0,0,1,0,0,1,0,0,1,0
-0.5550112233324216,1.113972437326356,-0.9152721326034655,98.5,0,1,1,5,0,1,1,1,0,1,0
-0.7649963797923276,-0.6679831867872458,-0.7931549280876836,0.0,1,0,0,1,1,0,1,0,0,1,0
-0.38489055640209957,0.5664441729339085,-0.5896262538947137,0.0,1,0,2,6,1,0,1,1,1,0,0
-0.31132664149142525,-0.6480730680820658,0.18378270803857208,0.0,1,1,2,3,1,0,0,0,2,1,37
-0.9568373794878055,-1.4793205240233267,-1.1188008067964355,0.0,0,0,0,1,0,0,1,0,0,0,0
-0.6525333234749648,0.33250027814804467,-0.8745663977648716,74.95,0,1,1,2,0,1,1,0,0,0,0
1.6975189227946386,1.135541732590301,1.2828375486806096,99.15,2,0,2,5,2,1,1,1,1,0,0
-0.9859952807452722,-0.3112602266527725,-1.2816237461508113,0.0,0,0,0,2,0,0,1,0,0,0,0
0.5137388473635771,0.9148712502745568,0.18378270803857208,92.5,1,1,0,4,1,1,1,1,0,1,0
1.18250569922972,1.3379612727596297,0.631545791263106,105.25,1,0,2,6,1,1,0,1,1,1,0
-0.17681415645791937,0.9828974891839214,-0.5082147842175256,94.55,1,1,0,4,1,1,1,1,0,1,0
-0.22051809874902095,0.15165003324266044,-0.2639803751859618,0.0,1,0,2,5,1,0,0,1,1,0,0
-0.7565276439869234,-1.5108448786398618,-0.10115743583158582,0.0,1,0,0,1,1,0,0,0,0,0,30
0.9983874845174087,0.06537285218688103,1.4863662228735797,0.0,2,0,3,5,2,0,0,1,2,0,69
1.4458482792096856,0.8120023036311275,1.2421318138420157,0.0,2,0,4,8,2,0,1,1,2,1,63
-0.9550602613524745,-1.5125040551986266,-1.1188008067964355,0.0,0,0,0,1,0,0,1,0,0,1,0
-0.66372258580853,-1.4760021709057967,0.26519417771576004,0.0,1,0,0,1,1,0,1,1,0,1,39
-0.8504077489385417,1.2201597370873154,-1.1595065416350294,101.7,0,1,1,5,0,1,1,1,0,0,0
1.6519720431780085,1.2019087949409006,1.1200146093262338,101.15,2,0,1,5,2,1,1,0,0,1,60
-0.12720842677911387,1.273253386967795,-0.5489205190561197,103.3,1,1,2,6,1,1,1,0,1,1,0
-0.5077969242307898,1.2301147964399053,-0.8745663977648716,102.0,0,1,1,5,0,1,0,1,0,1,0
0.38791449543613366,1.1620885575305409,-0.06045170099299184,99.95,1,1,1,5,1,1,0,1,0,0,0
0.05967419392148993,0.642766294637098,-0.10115743583158582,84.3,1,0,3,4,1,1,1,1,1,0,0
-0.4491520257648689,-1.3382905165283026,0.8350744654560759,0.0,2,0,0,2,2,0,1,0,0,0,53
-0.8077788534206649,0.8103431270723621,-1.1188008067964355,89.35,0,1,2,4,0,1,0,1,1,0,0
0.7337065810034283,0.4868036981131887,0.7536629957788878,79.6,2,0,1,3,2,1,1,1,0,0,0
1.7929348088508636,0.8086839505135972,1.5677776925507676,0.0,2,0,4,8,2,0,0,0,2,1,71
-0.3529024299661428,-1.3250171040581826,1.1607203441648277,0.0,2,0,0,2,2,0,0,1,0,0,61
-0.7442194554200017,0.31756768911915967,-0.9966836022806536,74.5,0,1,1,2,0,1,1,1,0,0,0
-0.7607620118896256,-0.3311703453579522,-0.9152721326034655,0.0,0,0,2,3,0,0,1,1,2,1,0
-0.7395682326460491,-0.5004063543519814,-0.8338606629262776,0.0,0,0,1,3,0,0,0,1,0,1,0
0.8609131359250183,-0.03583691789778363,1.3642490183577978,0.0,2,1,1,4,2,0,1,0,1,1,0
-0.3781769990019605,-0.14866092389380306,-0.3453918448631497,0.0,1,0,3,4,1,0,1,0,2,0,0
-0.9072097100789341,-0.2797358720362375,-1.1595065416350294,0.0,0,0,2,3,0,0,0,0,1,1,0
-0.8545104784608488,0.7970697146022425,-1.1595065416350294,88.95,0,1,1,4,0,1,0,1,0,0,0
-0.1255629470241778,-0.30960105009400735,0.1023712383613841,0.0,1,0,2,3,1,0,0,0,1,0,0
0.6474395623846476,0.689223238282518,0.5094285867473239,85.7,1,0,3,4,1,1,0,1,2,0,0
2.122030759838074,1.495583045842304,1.3235432835192036,110.0,2,0,3,7,2,1,1,1,2,0,0
-0.5045279044509835,0.5299422886410788,-0.7524491932490895,80.9,1,0,0,2,1,1,0,1,0,1,0
0.34495650396726973,-0.4722003528529765,1.1607203441648277,0.0,2,0,3,4,2,0,0,1,2,1,0
1.3482164804168133,0.5116913464946635,1.4456604880349857,80.35,2,0,2,3,2,1,1,0,1,1,68
-0.44746266654980127,-0.2382564580671127,-0.38609757970174374,0.0,1,0,3,4,1,0,0,1,2,1,0
0.9683739337873752,0.5515115839050234,0.9164859351332638,81.55,2,1,2,3,2,1,0,1,0,0,0
-0.25643343686675846,-1.3432680462045974,1.4863662228735797,0.0,2,0,0,2,2,0,1,0,0,1,69
-0.7558255726248174,0.5415565245524336,-1.0373893371192475,0.0,0,0,3,6,0,0,0,0,2,1,0
1.504229900914817,0.4685527559667738,1.6084834273893616,79.05,2,0,1,3,2,1,0,0,1,1,72
0.28907601148964146,-0.5053838840282764,1.1607203441648277,0.0,2,0,1,2,2,0,0,1,1,1,0
1.191369350176309,0.5100321699358986,1.2828375486806096,80.3,2,0,2,3,2,1,1,0,1,1,0
0.27573665560962646,0.9380997220972668,-0.019745966154397852,93.2,1,1,0,4,1,1,0,1,0,1,0
